127.0.0.1 - - [11/Jun/2020:07:56:18 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/Jun/2020:07:56:28 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:07:57:49 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:07:57:52 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 73806
0:0:0:0:0:0:0:1 - - [11/Jun/2020:07:57:57 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:08:11:12 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:08:11:15 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 32806
0:0:0:0:0:0:0:1 - - [11/Jun/2020:08:11:18 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:08:11:40 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:08:11:43 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 24606
0:0:0:0:0:0:0:1 - - [11/Jun/2020:08:11:47 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [11/Jun/2020:08:11:51 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:08:11:54 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 65606
0:0:0:0:0:0:0:1 - - [11/Jun/2020:08:11:58 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:08:12:37 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:08:12:39 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 32806
0:0:0:0:0:0:0:1 - - [11/Jun/2020:08:12:43 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:08:12:49 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:08:12:53 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 41006
0:0:0:0:0:0:0:1 - - [11/Jun/2020:08:12:57 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:08:16:17 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:08:16:21 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 24606
0:0:0:0:0:0:0:1 - - [11/Jun/2020:08:16:24 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [11/Jun/2020:08:18:40 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:08:18:44 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 65606
0:0:0:0:0:0:0:1 - - [11/Jun/2020:08:18:48 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:08:19:05 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:08:19:08 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 131206
0:0:0:0:0:0:0:1 - - [11/Jun/2020:08:19:12 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:08:23:30 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:08:23:32 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 32806
0:0:0:0:0:0:0:1 - - [11/Jun/2020:08:23:36 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:08:24:03 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:08:24:06 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 41006
0:0:0:0:0:0:0:1 - - [11/Jun/2020:08:24:10 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:08:33:06 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:08:33:09 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 24606
0:0:0:0:0:0:0:1 - - [11/Jun/2020:08:33:12 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:08:33:44 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:08:33:47 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 41006
0:0:0:0:0:0:0:1 - - [11/Jun/2020:08:33:50 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:08:35:26 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:08:35:28 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 106606
0:0:0:0:0:0:0:1 - - [11/Jun/2020:08:35:31 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:08:54:30 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:08:54:35 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [11/Jun/2020:08:54:39 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:08:54:41 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 24606
0:0:0:0:0:0:0:1 - - [11/Jun/2020:08:54:45 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:08:55:51 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:08:55:55 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 32806
0:0:0:0:0:0:0:1 - - [11/Jun/2020:08:55:59 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:09:18:41 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:09:18:42 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:09:19:19 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:09:20:25 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:09:37:05 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:09:38:39 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:09:41:26 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:10:02:42 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:10:04:05 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:10:05:40 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
